sort;N;D0;D1;D2;;1.063e+00  ; -2.248e-04 ; 6.979e-06 
MODSLF;40;3.506e-01;5.858e-06;1.107e-06;;1.360e+00 ; -3.775e-04    ;0.0000188
MODSLF;50;5.471e-01;-5.059e-05;3.002e-06;;1.6983018      ;-0.0001624 ;0.0000355
MODSLF;60;7.822e-01   ;-1.490e-04   ; 6.979e-06 ;;2.080e+00   ;-0.0003885 ;1.107e-06
MODSLF;70;1.063e+00  ; -3.775e-04    ;9.498e-06  ;;2.498e+00 ;-1.490e-04   ;1.377e-05 
MODSLF;80;1.360e+00 ;1.730e-05 ;1.377e-05 ;;2.9325510 ;-4.503e-05    ;2.428e-05  
MODSLF;90;1.6983018      ;-0.0001624 ;0.0000188;;3.506e-01;-5.059e-05;2.931e-05 
MODSLF;100;2.080e+00   ;-4.503e-05    ;2.428e-05  ;;5.471e-01;1.730e-05 ;3.002e-06
MODSLF;110;2.498e+00 ; -2.248e-04 ;2.931e-05 ;;7.822e-01   ;5.858e-06;9.498e-06  
MODSLF;120;2.9325510 ;-0.0003885 ;0.0000355;;;;
